Time,Date Updated,Song name,Song rank,Artist,Hearts (Real),Shares (Real)
24/02/2026 17:49:26,02/02/2026,Giờ Thì,31,buitruonglinh,189289,1761829200000
24/02/2026 17:49:26,02/02/2026,Hãy Trao Cho Anh,32,Sơn Tùng M-TP,944746,6022
24/02/2026 17:49:26,02/02/2026,Dù Cho Tận Thế,33,ERIK,259394,7680
24/02/2026 17:49:26,02/02/2026,Ngàn Năm Ánh Sáng,34,Đặng Vĩnh Thịnh,84738,1168
24/02/2026 17:49:26,02/02/2026,Những Lời Hứa Bỏ Quên,35,Vũ.,314280,2037
24/02/2026 17:49:26,02/02/2026,Pin Dự Phòng,36,Dương Domic,106157,1617
24/02/2026 17:49:26,02/02/2026,Việt Nam Tinh Hoa,37,Nguyễn Hải Phong,4532,6
24/02/2026 17:49:26,02/02/2026,50 Năm Về Sau,38,meChill,16392,577
24/02/2026 17:49:26,02/02/2026,Có Mình Và Ta,39,Nguyễn Vĩ,36463,575
24/02/2026 17:49:26,02/02/2026,Khóa Ly Biệt,40,The Masked Singer,361460,0
24/02/2026 17:49:26,02/02/2026,Hôn Vào Đây Đi,41,VSTRA,24295,685
24/02/2026 17:49:26,02/02/2026,một đời,42,14 Casper,189928,4644
24/02/2026 17:49:26,02/02/2026,Khó Vẽ Nụ Cười,43,Đạt G,554925,5193
24/02/2026 17:49:26,02/02/2026,Panorama,44,Richie D. ICY,39655,655
24/02/2026 17:49:26,02/02/2026,Wrong Times,45,Puppy,189369,3742
24/02/2026 17:49:26,02/02/2026,Exit Sign,46,HIEUTHUHAI,200123,4478
24/02/2026 17:49:26,02/02/2026,Em,47,Binz,48904,1072
24/02/2026 17:49:26,02/02/2026,Nắng Dưới Chân Mây,48,Nguyễn Hữu Kha,103557,2289
24/02/2026 17:49:26,02/02/2026,Thu Đợi,49,Wren Evans,25511,391
24/02/2026 17:49:26,02/02/2026,CHẠY NGAY ĐI,50,Sơn Tùng M-TP,628315,6022
Time,Date Updated,Song name,Song rank,Artist,Hearts (Real),Shares (Real)
25/02/2026 17:50:31,02/02/2026,Hôn Lễ Của Em,1,Trọng Nhân,79232,1936
25/02/2026 17:50:31,02/02/2026,Ai Ngoài Anh,2,VSTRA,67360,1375
25/02/2026 17:50:31,02/02/2026,Không Buông,3,Hngle,156711,3118
25/02/2026 17:50:31,02/02/2026,50 Năm Về Sau,4,F47,64555,2367
25/02/2026 17:50:31,02/02/2026,In Love,5,Low G,87607,1591
25/02/2026 17:50:31,02/02/2026,Anh Đã Không Biết Cách Yêu Em,6,Quang Đăng Trần,188864,4868
25/02/2026 17:50:31,02/02/2026,chẳng phải tình đầu sao đau đến thế,7,MIN,133864,3414
25/02/2026 17:50:31,02/02/2026,Vạn Sự Như Ý,8,Trúc Nhân,41587,1764
25/02/2026 17:50:31,02/02/2026,CHỜ ANH VỀ,9,"ANH TRAI ""SAY HI""",83567,1762
25/02/2026 17:50:31,02/02/2026,Thiệp Hồng Sai Tên,10,Nguyễn Thành Đạt,103383,2114
25/02/2026 17:50:31,02/02/2026,Kho Báu,11,(S)TRONG,175733,5198
25/02/2026 17:50:31,02/02/2026,Tấm Lòng Cửu Long,12,Ricky Star,41342,755
25/02/2026 17:50:31,02/02/2026,Hẹn Lần Sau,13,MAYDAYs,38155,603
25/02/2026 17:50:31,02/02/2026,Chất Gây Hại,14,Quang Hùng MasterD,44450,743
25/02/2026 17:50:31,02/02/2026,Dạo Này,15,Obito,38037,754
25/02/2026 17:50:31,02/02/2026,Mất Kết Nối,16,Dương Domic,394642,14120
25/02/2026 17:50:31,02/02/2026,Không Thời Gian,17,Dương Domic,91542,1617
25/02/2026 17:50:31,02/02/2026,Nơi Này Có Anh,18,Sơn Tùng M-TP,341673,6024
25/02/2026 17:50:31,02/02/2026,Người Đầu Tiên,19,Juky San,77747,546
25/02/2026 17:50:31,02/02/2026,Ngày Này Năm Ấy,20,Việt Anh,118892,1650
25/02/2026 17:50:31,02/02/2026,Trộm Vía,21,Vũ Thùy Linh,28170,570
25/02/2026 17:50:31,02/02/2026,SỚM MUỘN THÌ,22,"ANH TRAI ""SAY HI""",86751,1686
25/02/2026 17:50:31,02/02/2026,hello em có khỏe không,23,Dfoxie37,42408,677
25/02/2026 17:50:31,02/02/2026,Gió Đưa Tình,24,Wren Evans,25792,451
25/02/2026 17:50:31,02/02/2026,Bình Yên,25,Vũ.,247867,2039
